sep=;
Value;FromStart;FromEnd;Math;NfPs;NfPe
38.0;0.6870289380338822;0.6870289380338823;0.6893399422169917;0.6870289380338824;0.6870289380338823
39.0;0.6869748942744152;0.6869748942744154;0.6892395557289287;0.6869748942744157;0.6869748942744154
40.0;0.6869199202076289;0.6869199202076285;0.689139159162407;0.6869199202076287;0.6869199202076284
41.0;0.6868640339240275;0.686864033924028;0.6890387525154026;0.686864033924028;0.686864033924028
42.0;0.6868072531619537;0.6868072531619538;0.688938335785891;0.6868072531619541;0.6868072531619537
43.0;0.6867495953143651;0.6867495953143652;0.6888379089718474;0.6867495953143651;0.6867495953143652
44.0;0.6866910774354976;0.6866910774354976;0.6887374720712457;0.686691077435498;0.6866910774354977
45.0;0.686631716247391;0.6866317162473914;0.6886370250820597;0.6866317162473913;0.6866317162473914
46.0;0.6865715281462965;0.6865715281462963;0.6885365680022626;0.6865715281462966;0.6865715281462962
47.0;0.6865105292089543;0.6865105292089545;0.6884361008298266;0.6865105292089545;0.6865105292089546
48.0;0.686448735198763;0.6864487351987631;0.6883356235627238;0.6864487351987633;0.6864487351987631
49.0;0.6863861615718183;0.6863861615718188;0.6882351361989252;0.6863861615718183;0.6863861615718188
50.0;0.6863228234828473;0.6863228234828473;0.6881346387364016;0.6863228234828475;0.6863228234828473
51.0;0.6862587357910197;0.6862587357910198;0.6880341311731228;0.6862587357910198;0.6862587357910198
52.0;0.686193913065658;0.686193913065658;0.6879336135070584;0.6861939130656585;0.686193913065658
53.0;0.6861283695918308;0.6861283695918304;0.6878330857361771;0.6861283695918308;0.6861283695918304
54.0;0.6860621193758413;0.6860621193758412;0.6877325478584471;0.686062119375841;0.6860621193758412
55.0;0.6859951761506149;0.6859951761506147;0.6876319998718358;0.6859951761506147;0.6859951761506147
56.0;0.6859275533809769;0.6859275533809767;0.6875314417743102;0.6859275533809768;0.6859275533809767
57.0;0.6858592642688343;0.6858592642688347;0.6874308735638368;0.6858592642688345;0.6858592642688347
58.0;0.6857903217582592;0.6857903217582593;0.6873302952383812;0.6857903217582589;0.6857903217582593
59.0;0.6857207385404683;0.6857207385404682;0.6872297067959083;0.6857207385404687;0.6857207385404682
60.0;0.6856505270587151;0.6856505270587148;0.687129108234383;0.6856505270587152;0.6856505270587148
61.0;0.6855796995130834;0.6855796995130833;0.6870284995517688;0.6855796995130834;0.6855796995130833
62.0;0.6855082678651923;0.6855082678651925;0.6869278807460292;0.6855082678651924;0.6855082678651926
63.0;0.6854362438428087;0.6854362438428088;0.6868272518151266;0.6854362438428084;0.6854362438428088
64.0;0.6853636389443702;0.6853636389443707;0.6867266127570233;0.6853636389443702;0.6853636389443707
65.0;0.6852904644434281;0.6852904644434279;0.6866259635696805;0.6852904644434282;0.6852904644434279
66.0;0.6852167313929941;0.6852167313929944;0.6865253042510592;0.6852167313929941;0.6852167313929944
67.0;0.6851424506298179;0.685142450629818;0.6864246347991193;0.6851424506298179;0.685142450629818
68.0;0.685067632778569;0.6850676327785687;0.6863239552118205;0.6850676327785692;0.6850676327785687
69.0;0.6849922882559459;0.6849922882559464;0.6862232654871219;0.6849922882559462;0.6849922882559463
70.0;0.6849164272747099;0.6849164272747095;0.6861225656229816;0.6849164272747097;0.6849164272747095
71.0;0.6848400598476269;0.6848400598476274;0.6860218556173575;0.6848400598476272;0.6848400598476274
72.0;0.6847631957913557;0.6847631957913562;0.6859211354682065;0.684763195791356;0.6847631957913562
73.0;0.6846858447302399;0.68468584473024;0.6858204051734852;0.6846858447302402;0.68468584473024
74.0;0.6846080161000387;0.6846080161000396;0.6857196647311495;0.6846080161000391;0.6846080161000396
75.0;0.6845297191515904;0.6845297191515902;0.6856189141391545;0.6845297191515907;0.6845297191515902
76.0;0.6844509629543879;0.6844509629543876;0.6855181533954551;0.6844509629543879;0.6844509629543876
77.0;0.6843717564001067;0.6843717564001066;0.685417382498005;0.6843717564001066;0.6843717564001066
78.0;0.6842921082060514;0.6842921082060517;0.6853166014447576;0.6842921082060512;0.6842921082060517
79.0;0.6842120269185404;0.6842120269185406;0.685215810233666;0.6842120269185403;0.6842120269185406
80.0;0.6841315209162243;0.6841315209162242;0.685115008862682;0.6841315209162243;0.6841315209162242
81.0;0.6840505984133417;0.6840505984133416;0.6850141973297572;0.6840505984133417;0.6840505984133416
82.0;0.6839692674629126;0.683969267462913;0.6849133756328427;0.6839692674629126;0.683969267462913
83.0;0.6838875359598715;0.6838875359598716;0.6848125437698885;0.6838875359598717;0.6838875359598716
84.0;0.6838054116441338;0.6838054116441339;0.6847117017388447;0.6838054116441337;0.683805411644134
85.0;0.6837229021036139;0.6837229021036133;0.6846108495376598;0.6837229021036137;0.6837229021036133
86.0;0.683640014777173;0.6836400147771732;0.6845099871642827;0.6836400147771732;0.6836400147771732
87.0;0.683556756957525;0.6835567569575249;0.684409114616661;0.683556756957525;0.6835567569575249
88.0;0.6834731357940693;0.6834731357940697;0.6843082318927419;0.6834731357940694;0.6834731357940695
89.0;0.6833891582956849;0.6833891582956848;0.684207338990472;0.6833891582956851;0.6833891582956848
90.0;0.6833048313334577;0.6833048313334585;0.6841064359077973;0.6833048313334582;0.6833048313334585
91.0;0.6832201616433689;0.6832201616433689;0.6840055226426629;0.6832201616433686;0.6832201616433689
92.0;0.683135155828914;0.6831351558289144;0.6839045991930137;0.6831351558289144;0.6831351558289144
93.0;0.6830498203636916;0.6830498203636914;0.6838036655567938;0.6830498203636913;0.6830498203636914
94.0;0.6829641615939234;0.6829641615939239;0.6837027217319467;0.6829641615939234;0.6829641615939239
95.0;0.6828781857409428;0.682878185740943;0.6836017677164149;0.6828781857409431;0.682878185740943
96.0;0.6827918989036186;0.6827918989036189;0.683500803508141;0.6827918989036184;0.6827918989036189
97.0;0.6827053070607473;0.6827053070607473;0.6833998291050664;0.6827053070607475;0.6827053070607472
98.0;0.6826184160733875;0.6826184160733875;0.683298844505132;0.6826184160733874;0.6826184160733875
99.0;0.6825312316871582;0.6825312316871581;0.6831978497062783;0.6825312316871581;0.6825312316871581
100.0;0.6824437595344852;0.6824437595344857;0.6830968447064449;0.6824437595344852;0.6824437595344857
101.0;0.6823560051368125;0.6823560051368126;0.6829958295035711;0.6823560051368127;0.6823560051368126
102.0;0.6822679739067601;0.6822679739067601;0.6828948040955951;0.6822679739067603;0.6822679739067602
103.0;0.6821796711502512;0.6821796711502512;0.6827937684804548;0.6821796711502511;0.6821796711502512
104.0;0.6820911020685919;0.6820911020685918;0.6826927226560876;0.6820911020685917;0.6820911020685918
105.0;0.6820022717605118;0.6820022717605114;0.6825916666204298;0.6820022717605114;0.6820022717605115
106.0;0.6819131852241666;0.681913185224166;0.6824906003714176;0.6819131852241666;0.6819131852241661
107.0;0.6818238473590997;0.6818238473590998;0.6823895239069864;0.6818238473590998;0.6818238473590998
108.0;0.6817342629681707;0.6817342629681709;0.6822884372250706;0.6817342629681706;0.6817342629681709
109.0;0.6816444367594389;0.6816444367594392;0.6821873403236045;0.6816444367594389;0.6816444367594392
110.0;0.6815543733480183;0.681554373348018;0.6820862332005216;0.6815543733480182;0.681554373348018
111.0;0.6814640772578898;0.6814640772578896;0.6819851158537547;0.6814640772578899;0.6814640772578896
112.0;0.6813735529236852;0.6813735529236852;0.6818839882812359;0.6813735529236851;0.6813735529236852
113.0;0.6812828046924317;0.681282804692432;0.6817828504808968;0.6812828046924323;0.6812828046924319
114.0;0.6811918368252641;0.6811918368252644;0.6816817024506685;0.681191836825264;0.6811918368252644
115.0;0.6811006534991044;0.6811006534991048;0.6815805441884811;0.6811006534991044;0.6811006534991048
116.0;0.6810092588083082;0.6810092588083083;0.6814793756922646;0.6810092588083082;0.6810092588083083
117.0;0.6809176567662788;0.6809176567662791;0.6813781969599477;0.6809176567662789;0.6809176567662792
118.0;0.6808258513070534;0.6808258513070538;0.6812770079894592;0.6808258513070536;0.6808258513070538
119.0;0.6807338462868533;0.6807338462868532;0.6811758087787267;0.680733846286853;0.6807338462868531
120.0;0.6806416454856064;0.6806416454856065;0.6810745993256774;0.6806416454856066;0.6806416454856065
121.0;0.6805492526084442;0.680549252608444;0.6809733796282379;0.6805492526084441;0.6805492526084441
122.0;0.6804566712871617;0.6804566712871619;0.6808721496843341;0.6804566712871618;0.6804566712871618
123.0;0.680363905081657;0.6803639050816572;0.6807709094918912;0.6803639050816574;0.6803639050816573
124.0;0.6802709574813376;0.6802709574813377;0.680669659048834;0.6802709574813376;0.6802709574813377
125.0;0.6801778319065017;0.6801778319065013;0.6805683983530866;0.6801778319065015;0.6801778319065013
126.0;0.6800845317096903;0.6800845317096905;0.6804671274025722;0.6800845317096903;0.6800845317096906
127.0;0.6799910601770212;0.6799910601770212;0.6803658461952136;0.6799910601770214;0.6799910601770212
128.0;0.6798974205294829;0.6798974205294832;0.6802645547289331;0.6798974205294831;0.6798974205294832
129.0;0.6798036159242186;0.6798036159242187;0.680163253001652;0.6798036159242187;0.6798036159242187
