x;n = 10;n = 25;n = 50;n = 100
0,85233;7,22E-11;2,63E-17;2,63E-17;2,63E-17
0,85076;8,13E-11;2,91E-17;2,91E-17;2,91E-17
0,84919;9,14E-11;2,74E-17;2,74E-17;2,74E-17
0,84762;1,03E-10;2,91E-17;2,91E-17;2,91E-17
0,84605;1,15E-10;2,65E-17;2,65E-17;2,65E-17
0,84448;1,29E-10;2,58E-17;2,58E-17;2,58E-17
0,84291;1,44E-10;2,50E-17;2,50E-17;2,50E-17
0,84134;1,62E-10;2,66E-17;2,66E-17;2,66E-17
0,83977;1,80E-10;2,99E-17;2,99E-17;2,99E-17
0,8382;2,01E-10;2,60E-17;2,60E-17;2,60E-17
0,83663;2,24E-10;2,76E-17;2,76E-17;2,76E-17
0,83506;2,50E-10;2,99E-17;2,99E-17;2,99E-17
0,83349;2,78E-10;2,65E-17;2,65E-17;2,65E-17
0,83192;3,09E-10;2,77E-17;2,77E-17;2,77E-17
0,83035;3,43E-10;2,80E-17;2,80E-17;2,80E-17
0,82878;3,80E-10;2,65E-17;2,65E-17;2,65E-17
0,82721;4,21E-10;2,65E-17;2,65E-17;2,65E-17
0,82564;4,66E-10;2,78E-17;2,78E-17;2,78E-17
0,82407;5,16E-10;2,92E-17;2,92E-17;2,92E-17
0,8225;5,70E-10;2,62E-17;2,62E-17;2,62E-17
0,82093;6,29E-10;2,70E-17;2,70E-17;2,70E-17
0,81936;6,94E-10;3,16E-17;3,16E-17;3,16E-17
0,81779;7,65E-10;2,87E-17;2,87E-17;2,87E-17
0,81622;8,42E-10;2,82E-17;2,82E-17;2,82E-17
0,81465;9,27E-10;2,80E-17;2,80E-17;2,80E-17
0,81308;1,02E-09;2,77E-17;2,77E-17;2,77E-17
0,81151;1,12E-09;2,79E-17;2,79E-17;2,79E-17
0,80994;1,23E-09;2,91E-17;2,91E-17;2,91E-17
0,80837;1,35E-09;2,95E-17;2,95E-17;2,95E-17
0,8068;1,48E-09;2,92E-17;2,92E-17;2,92E-17
0,80523;1,62E-09;2,67E-17;2,67E-17;2,67E-17
0,80366;1,77E-09;3,18E-17;3,18E-17;3,18E-17
0,80209;1,94E-09;3,11E-17;3,11E-17;3,11E-17
